,Gender,Ethnicity,Parents_Education,Lunch,Course,Total_Score,Average_Score
0,female,group B,4,standard,Not completed,218,72.66666666666667
1,female,group C,2,standard,completed,247,82.33333333333333
2,female,group B,5,standard,Not completed,278,92.66666666666667
3,male,group A,3,free/reduced,Not completed,148,49.333333333333336
4,male,group C,2,standard,Not completed,229,76.33333333333333
5,female,group B,3,standard,Not completed,232,77.33333333333333
6,female,group B,2,standard,completed,275,91.66666666666667
7,male,group B,2,free/reduced,Not completed,122,40.666666666666664
8,male,group D,1,free/reduced,completed,195,65.0
9,female,group B,1,free/reduced,Not completed,148,49.333333333333336
10,male,group C,3,standard,Not completed,164,54.666666666666664
11,male,group D,3,standard,Not completed,135,45.0
12,female,group B,1,standard,Not completed,219,73.0
13,male,group A,2,standard,completed,220,73.33333333333333
14,female,group A,5,standard,Not completed,161,53.666666666666664
15,female,group C,1,standard,Not completed,222,74.0
16,male,group C,1,standard,Not completed,263,87.66666666666667
17,female,group B,1,free/reduced,Not completed,78,26.0
18,male,group C,5,free/reduced,completed,134,44.666666666666664
19,female,group C,3,free/reduced,Not completed,173,57.666666666666664
20,male,group D,1,standard,Not completed,198,66.0
21,female,group B,2,free/reduced,completed,210,70.0
22,male,group D,2,standard,Not completed,151,50.333333333333336
23,female,group C,1,standard,Not completed,215,71.66666666666667
24,male,group D,4,free/reduced,completed,225,75.0
25,male,group A,5,free/reduced,Not completed,219,73.0
26,male,group B,2,standard,Not completed,178,59.333333333333336
27,female,group C,4,standard,Not completed,211,70.33333333333333
28,male,group C,1,standard,Not completed,205,68.33333333333333
29,female,group D,5,standard,Not completed,207,69.0
30,female,group D,2,standard,Not completed,217,72.33333333333333
31,female,group B,2,standard,Not completed,189,63.0
32,female,group E,5,free/reduced,Not completed,193,64.33333333333333
33,male,group D,2,standard,Not completed,120,40.0
34,male,group E,2,standard,Not completed,266,88.66666666666667
35,male,group E,3,standard,completed,241,80.33333333333333
36,female,group D,3,standard,Not completed,238,79.33333333333333
37,female,group D,1,free/reduced,Not completed,173,57.666666666666664
38,female,group D,3,free/reduced,completed,253,84.33333333333333
39,male,group B,3,free/reduced,Not completed,170,56.666666666666664
40,male,group C,3,free/reduced,Not completed,170,56.666666666666664
41,female,group C,3,standard,Not completed,199,66.33333333333333
42,female,group B,3,standard,Not completed,176,58.666666666666664
43,male,group B,2,free/reduced,completed,190,63.333333333333336
44,female,group E,3,free/reduced,Not completed,160,53.333333333333336
45,male,group B,3,standard,Not completed,176,58.666666666666664
46,female,group A,3,standard,completed,182,60.666666666666664
47,female,group C,1,standard,Not completed,213,71.0
48,female,group D,3,free/reduced,completed,207,69.0
49,male,group C,1,standard,completed,248,82.66666666666667
50,male,group E,2,standard,Not completed,156,52.0
51,male,group E,3,free/reduced,completed,214,71.33333333333333
52,male,group C,2,standard,Not completed,139,46.333333333333336
53,male,group D,1,standard,Not completed,241,80.33333333333333
54,female,group C,1,free/reduced,completed,242,80.66666666666667
55,female,group C,1,free/reduced,Not completed,117,39.0
56,female,group E,3,standard,completed,253,84.33333333333333
57,male,group D,3,standard,Not completed,156,52.0
58,male,group D,2,standard,completed,175,58.333333333333336
59,female,group C,1,free/reduced,Not completed,27,9.0
60,male,group E,4,free/reduced,completed,225,75.0
61,male,group A,1,free/reduced,Not completed,112,37.333333333333336
62,male,group A,3,free/reduced,Not completed,178,59.333333333333336
63,female,group C,3,standard,Not completed,220,73.33333333333333
64,female,group D,1,standard,Not completed,176,58.666666666666664
65,male,group B,1,standard,Not completed,192,64.0
66,male,group D,1,free/reduced,Not completed,119,39.666666666666664
67,female,group C,2,standard,Not completed,206,68.66666666666667
68,male,group B,3,free/reduced,Not completed,175,58.333333333333336
69,female,group C,3,standard,Not completed,160,53.333333333333336
70,female,group D,2,free/reduced,completed,194,64.66666666666667
71,male,group D,2,standard,completed,181,60.333333333333336
72,female,group A,3,free/reduced,Not completed,140,46.666666666666664
73,male,group C,1,free/reduced,Not completed,174,58.0
74,male,group C,1,standard,Not completed,139,46.333333333333336
75,male,group B,3,free/reduced,Not completed,123,41.0
76,male,group E,1,standard,Not completed,78,26.0
77,male,group A,4,standard,completed,239,79.66666666666667
78,female,group D,1,standard,completed,207,69.0
79,female,group E,5,standard,Not completed,198,66.0
80,female,group B,3,standard,Not completed,146,48.666666666666664
81,male,group B,1,free/reduced,Not completed,139,46.333333333333336
82,male,group A,2,free/reduced,completed,151,50.333333333333336
83,male,group E,3,standard,Not completed,199,66.33333333333333
84,male,group D,1,free/reduced,Not completed,115,38.333333333333336
85,female,group C,2,standard,Not completed,235,78.33333333333333
86,female,group C,2,free/reduced,Not completed,247,82.33333333333333
87,female,group D,3,standard,Not completed,216,72.0
88,female,group A,2,standard,Not completed,195,65.0
89,female,group D,1,standard,Not completed,241,80.33333333333333
90,female,group C,4,standard,Not completed,211,70.33333333333333
91,male,group C,1,free/reduced,Not completed,97,32.333333333333336
92,male,group C,1,standard,Not completed,221,73.66666666666667
93,male,group C,3,free/reduced,completed,138,46.0
94,female,group B,2,standard,Not completed,257,85.66666666666667
95,male,group C,3,free/reduced,completed,241,80.33333333333333
96,male,group B,1,standard,completed,193,64.33333333333333
97,female,group E,2,standard,completed,205,68.33333333333333
98,female,group D,2,free/reduced,Not completed,187,62.333333333333336
99,female,group D,4,standard,Not completed,194,64.66666666666667
100,male,group B,2,standard,Not completed,213,71.0
101,male,group D,4,standard,completed,216,72.0
102,female,group D,3,standard,Not completed,265,88.33333333333333
103,male,group B,1,standard,completed,151,50.333333333333336
104,male,group C,2,standard,completed,274,91.33333333333333
